id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm348993,22-Jul,MOVIE,2018,R,143,"['thriller', 'crime', 'drama', 'history', 'european']","['US', 'IS', 'NO']",,tt7280898,6.8,33609,33.575,7.2
tm427308,Falls Around Her,MOVIE,2018,,100,"['drama', 'music', 'thriller']",['CA'],,tt8314254,6.3,127,1.339,7
ts85895,Better Than Us,SHOW,2018,TV-MA,52,"['scifi', 'drama']",['RU'],2,tt8285216,7.3,8792,14.306,7.4
ts82302,Insatiable,SHOW,2018,TV-MA,46,"['drama', 'comedy', 'thriller']",['US'],2,tt6487482,6.5,28006,81.348,7.9
tm245176,Sand Castle,MOVIE,2017,,113,"['war', 'action', 'drama']","['IQ', 'GB']",,tt2582576,6.3,23158,27.077,6.5
ts82281,Zoids Wild,SHOW,2018,TV-Y7,21,"['action', 'comedy', 'animation', 'scifi']",['JP'],1,tt12317724,6.2,27,11.922,
ts81344,Explained,SHOW,2018,TV-MA,21,['documentation'],['US'],3,tt8005374,8,9079,11.637,7.7
tm240076,Buster's Mal Heart,MOVIE,2017,,96,"['drama', 'thriller', 'crime']",['US'],,tt5173032,6.2,10490,6.82,6.2
ts77525,The Toys That Made Us,SHOW,2017,TV-14,45,"['documentation', 'comedy', 'history']",['US'],3,tt7053920,8,5651,5.924,7.7
tm298084,On Body and Soul,MOVIE,2017,,116,"['drama', 'romance', 'fantasy']",['HU'],,tt5607714,7.5,27504,7.285,7.2
tm423436,Ben Is Back,MOVIE,2018,R,103,"['drama', 'european']",['US'],,tt7545524,6.7,21735,12.478,6.6
ts85568,Perfume,SHOW,2018,TV-MA,58,"['crime', 'drama', 'thriller']",['DE'],1,tt6811236,7.1,8536,17.902,6.9
ts77474,Mr. Sunshine,SHOW,2018,TV-MA,76,"['drama', 'history', 'romance', 'war', 'action']",['KR'],1,tt7094780,8.7,7054,16.097,8.516
tm368449,Private Life,MOVIE,2018,R,123,"['comedy', 'drama']",['US'],,tt6394284,7.2,19023,7.974,7
tm433381,Mirage,MOVIE,2018,R,129,"['fantasy', 'thriller', 'drama', 'romance', 'european']",['ES'],,tt6908274,7.4,54188,19.839,7.5
tm349278,Ravenous,MOVIE,2017,,103,"['drama', 'scifi', 'horror', 'thriller', 'action']",['CA'],,tt6243140,5.8,9205,10.328,5.8
